month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,35013,"dona ana, nm",285000,0.0179,0.1925,789,0.0677,0.0958,42,-0.086956522,-0.20754717,268,-0.029,0.2182,12,0.5,0,72,-0.1,-0.1818,25,0,1.7778,142.3631657,0.0018,0.1395,2000,-0.0177,0.002,329209.1587,0.0055,0.0865,814,0.0654,0.1166,0.031685678,-0.0021,0.0192
202108,6039,"madera, ca",438500,0.0245,0.1452,374,0.0872,-0.0856,36,0.161290323,-0.307692308,264,-0.0571,0.1786,16,0.3333,0,124,0.7222,0.2917,276,0.0376,-0.2181,221.6720437,-0.0108,0.2127,1935.5,0.0123,-0.073,557853.0392,-0.0068,0.1321,650,0.0656,-0.147,0.737967914,-0.0353,-0.1251
202108,48361,"orange, tx",195000,0.0269,0.0662,359,0.1184,-0.2313,41,-0.023809524,-0.349206349,124,-0.0606,0.3478,4,,,96,0.4118,-0.1724,38,0.0556,0.3571,104.5711957,-0.0038,0.1002,1892,0.0032,-0.0347,225951.2605,0.0135,0.0518,397,0.112,-0.198,0.105849582,-0.0063,0.0459
202108,42095,"northampton, pa",324950,-0.015,-0.0412,478,0.0742,-0.1245,23.5,0.119047619,-0.241935484,420,-0.0625,0.0825,20,-0.1667,-0.5,152,0.3103,-0.05,146,0,0.5368,157.295185,0.0071,0.0091,2062.5,-0.0051,-0.0098,436542.6421,-0.0307,0.041,624,0.0558,-0.0265,0.305439331,-0.0227,0.1314
202108,39157,"tuscarawas, oh",219900,-0.0222,0.158,104,-0.0545,0.0612,44,0.571428571,-0.043478261,72,-0.2174,0.2,0,,,20,-0.2857,-0.4444,173,0.0298,0.0176,101.5922184,-0.0326,0.1213,1656,-0.035,-0.098,227651.4498,-0.0145,0.0716,277,-0.0036,0.0336,1.663461538,0.1362,-0.0712
202108,22097,"st. landry, la",194450,0.1111,0.2161,98,-0.0101,-0.5266,63,-0.112676056,-0.5625,24,-0.3333,-0.25,0,,,32,0.1429,-0.2,85,-0.1237,-0.0341,109.5373845,0.0015,0.2557,1889,0.0919,-0.0053,301123.963,0.0907,0.4299,183,-0.0663,-0.3797,0.867346939,-0.1125,0.4422
202108,37035,"catawba, nc",299975,-0.0323,-0.0907,268,0.0347,0.2127,43,0.131578947,-0.065217391,176,0,0.2941,4,-0.6667,0,100,0.4706,0.6667,266,-0.0112,0.0114,147.756106,-0.0013,0.1013,1963,0.0139,-0.1322,432040.1963,-0.0054,0.0265,534,0.0114,0.1033,0.992537313,-0.0461,-0.1975
202108,42013,"blair, pa",149950,-0.0801,-0.0326,157,0.0537,-0.3644,33.5,0.116666667,-0.401785714,104,0,0.1818,0,,,72,0.125,-0.1,15,0.1538,0.3636,49.60800143,-0.1851,-0.0178,1281,-0.0251,-0.0146,191165.0894,-0.0635,-0.0967,172,0.0617,-0.3333,0.095541401,0.0083,0.051
202108,22089,"st. charles, la",271500,0.0131,0.0483,57,-0.0806,0.0179,38.5,-0.06097561,-0.259615385,28,-0.4615,-0.2222,0,,,28,0.1667,1.3333,79,0.0395,0.0676,138.0341762,-0.0201,0.0241,1958,0.0041,0.0114,282944.8768,-0.0604,-0.0769,136,-0.0145,0.0462,1.385964912,0.1602,0.0645
202108,20091,"johnson, ks",462725,-0.0092,-0.0154,830,0.0311,-0.2556,44,0.023255814,-0.228070175,608,-0.038,-0.0675,88,0.375,0.0476,240,0.2,-0.2593,2322,-0.0365,0.0745,190.4491751,0.0142,0.1337,2612,-0.0121,-0.0946,578497.1784,-0.0128,-0.0285,3152,-0.0196,-0.0379,2.797590361,-0.1962,0.8595
