month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,35620,"new york-newark-jersey city, ny-nj-pa",1,602500,0.0058,-0.0267,64288,0.0326,-0.1286,58,-0.016949153,0.094339623,24224,0.0405,-0.0971,888,-0.075,-0.1494,9088,-0.0813,-0.2918,33360,0.0498,0.0323,221.984375,0.0115,0.0815,915.5,-0.0198,-0.1298,1313384.3,0.0824,0.1175,97648,0.0384,-0.0796,0.518914883,0.0085,0.0809
202108,31080,"los angeles-long beach-anaheim, ca",2,974500,-0.0245,-0.0245,14288,0.0092,-0.1759,43,0,-0.156862745,9720,-0.0683,-0.0338,468,0.0833,-0.0565,2788,0.1894,-0.2349,14696,-0.0013,-0.0893,584.5614035,-0.0149,0.0785,1767,-0.0183,-0.0626,2372413.868,-0.0214,0.055,28984,0.0038,-0.1342,1.028555431,-0.0108,0.0978
202108,16980,"chicago-naperville-elgin, il-in-wi",3,340950,-0.0256,-0.0231,22164,0.0445,-0.1683,35.5,0.014285714,-0.154761905,15608,-0.0762,-0.0488,228,-0.2875,-0.6174,7884,0.0818,-0.095,22009,-0.0554,-0.13,182.6875,-0.0132,0.1009,1584,-0.0075,-0.0876,499437.8663,-0.0403,-0.0025,44173,-0.0078,-0.1497,0.993006677,-0.1051,0.0437
202108,19100,"dallas-fort worth-arlington, tx",4,396495,0.0038,0.1014,9110,0.1037,-0.3734,31,0.068965517,-0.326086957,8516,-0.1122,-0.007,496,0.0598,-0.5649,3848,0.1032,-0.3451,14552,0.0138,-0.073,183.5236677,0.0106,0.1903,2168,0.0018,-0.0806,567959.4831,-0.0214,0.0674,23662,0.0466,-0.2174,1.597365532,-0.1417,0.5176
202108,26420,"houston-the woodlands-sugar land, tx",5,364217.5,-0.0021,0.1054,16357,0.0924,-0.2516,37,0.027777778,-0.274509804,10192,-0.1012,0.0438,904,-0.0583,-0.5232,5992,0.1444,-0.126,15805,-0.0461,-0.0004,163.7686686,-0.0052,0.182,2233.5,-0.0078,-0.0694,526547.3491,-0.034,0.0694,32162,0.0197,-0.1462,0.96625298,-0.1403,0.2428
202108,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,321000,-0.0123,-0.0641,10931,0.0283,0.0094,42.5,0.0625,-0.055555556,7496,-0.0695,0.133,392,0.1807,-0.3718,3784,0.0139,0.1752,14796,-0.0372,3.4023,188.0443484,0.002,0.0796,1594.5,-0.0096,-0.1067,473471.4128,-0.0294,-0.0654,25727,-0.0104,0.813,1.353581557,-0.092,1.0432
202108,47900,"washington-arlington-alexandria, dc-va-md-wv",7,503182.5,-0.0228,-0.0416,10044,0.0133,0.1706,33,0.1,0.1,8248,-0.1347,0.0968,332,-0.1863,-0.461,3656,0.1065,0.5083,12569,-0.0154,1.7294,273.4787792,-0.0213,0.0953,1798.5,0.0019,-0.0998,737900.1466,-0.0215,-0.0798,22613,-0.0028,0.7151,1.251393867,-0.0364,0.7147
202108,33100,"miami-fort lauderdale-west palm beach, fl",8,455750,0.0128,0.1253,21512,-0.004,-0.4665,59,0,-0.365591398,9432,-0.0324,-0.1017,1032,-0.019,0.2836,3632,-0.032,-0.4643,19491,-0.0761,0.0053,317.2695312,0.0115,0.2004,1334,0.0068,-0.0162,1200986.118,0.0108,0.2019,41003,-0.0396,-0.3133,0.906052436,-0.0707,0.4252
202108,12060,"atlanta-sandy springs-roswell, ga",9,397750,-0.0054,0.1218,18514,0.0697,-0.3243,34,0.096774194,-0.276595745,16128,-0.0416,0.0244,904,0.159,-0.5883,5652,-0.0478,-0.275,27595,-0.0386,-0.0811,158.2916667,-0.0011,0.1968,1846,-0.0274,-0.1099,548031.2221,-0.0258,0.1292,46109,0.0021,-0.1971,1.49049368,-0.168,0.3944
202108,14460,"boston-cambridge-newton, ma-nh",10,659000,-0.0295,-0.0286,5830,-0.0175,-0.2117,31,0.033333333,-0.184210526,4860,-0.0802,-0.0899,144,0.44,-0.1628,1468,-0.0239,-0.2761,1835,0.0269,-0.2325,387.2998586,-0.0291,0.0957,1719,0.0041,-0.0812,1079444.319,-0.0342,0.0398,7665,-0.0073,-0.2168,0.314751286,0.0136,-0.0085
202108,41860,"san francisco-oakland-hayward, ca",11,992500,-0.007,-0.0317,4374,0.006,-0.2245,29.5,0.017241379,-0.157142857,4396,-0.0811,-0.0343,132,-0.0833,-0.175,976,0.1193,-0.3613,4971,-0.0224,-0.0717,665.7430492,-0.0109,0.025,1530.5,-0.0016,-0.0107,1640873.03,-0.0239,-0.002,9345,-0.0093,-0.1501,1.13648834,-0.033,0.187
202108,19820,"detroit-warren-dearborn, mi",12,267500,-0.036,-0.0412,7870,0.1012,-0.1554,24,0.043478261,-0.351351351,6696,-0.0245,0.0738,220,-0.1538,-0.433,2892,0.2359,-0.0474,2472,0.03,-0.2217,168.6381175,-0.008,0.0984,1565.5,-0.0191,-0.0904,387249.1235,-0.0247,0.017,10342,0.0833,-0.1722,0.314104193,-0.0217,-0.0267
202108,38060,"phoenix-mesa-scottsdale, az",13,475000,0,0.1446,5838,0.069,-0.1667,29.5,0.017241379,-0.243589744,6600,0.0092,0.0631,372,0.1923,-0.5507,2660,0.0456,0.0522,10753,0.0785,-0.1105,249.983935,0.0011,0.2046,2007,0.0055,-0.0484,757309.4419,-0.0264,0.0659,16591,0.0752,-0.1311,1.84189791,0.0162,0.1164
202108,42660,"seattle-tacoma-bellevue, wa",14,675000,-0.0288,0.08,3740,0.0421,-0.3722,28.5,-0.05,-0.136363636,5108,-0.007,0.0274,116,-0.1944,-0.5323,1268,0.4344,-0.1851,7670,-0.0007,-0.0117,374.5841268,-0.01,0.0965,1772,0.0172,-0.0756,915711.1226,-0.04,0.028,11410,0.013,-0.1682,2.050802139,-0.0877,0.748
202108,33460,"minneapolis-st. paul-bloomington, mn-wi",15,354982.5,-0.0272,-0.0139,7388,0.0926,-0.1528,29,-0.033333333,-0.194444444,6320,0.007,-0.0174,168,-0.0455,-0.5059,2448,0.2314,0.1439,8438,-0.0521,0.0013,188.0414916,-0.0077,0.0885,1899.5,-0.006,-0.0819,467574.72,-0.0132,-0.0325,15826,0.0103,-0.0771,1.142122361,-0.1744,0.1758
202108,40140,"riverside-san bernardino-ontario, ca",16,540000,0.0002,0.1765,6446,-0.0419,-0.0764,33,0.222222222,-0.282608696,5916,0.0075,0.0835,376,-0.0784,-0.248,1800,0.1936,0.2931,8902,-0.0961,-0.2077,289.0562097,0.0021,0.2134,1871.5,-0.0003,-0.06,707753.5535,-0.0565,0.0725,15348,-0.0741,-0.1574,1.38101148,-0.0827,-0.229
