month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,north carolina,nc,353244,-0.016,0.0267,15971,0.0623,-0.3704,37.5,0.013513514,-0.385245902,12864,-0.0219,0.0496,788,0.0707,-0.702,4612,0.0472,-0.2251,24026,0.0002,0.0361,163.390625,0.0004,0.1344,1753,-0.0011,-0.1235,510393.5687,-0.0149,0.0735,39997,0.0241,-0.1762,1.504351637,-0.0933,0.5902
202108,south carolina,sc,325000,0,0.1207,10455,0.0966,-0.4589,36.5,0.013888889,-0.455223881,7596,0.048,0.0486,984,-0.0502,-0.5233,3140,0.2954,-0.3233,15325,-0.0042,0.0237,143.6502356,0.0015,0.0789,1684.5,0.0075,-0.0308,522510.703,0.0079,0.1651,25780,0.0344,-0.2482,1.465805835,-0.1483,0.691
202108,delaware,de,386250,0.0164,0.1164,1710,0.0006,-0.3284,45,0.071428571,-0.366197183,1332,0.0122,0.1174,144,-0.3208,-0.6538,480,0.0526,0.0811,3366,0.0219,3.5921,179.2430387,-0.0019,0.1239,1941,-0.0046,-0.0448,474619.3418,-0.007,0.0065,5076,0.0146,0.548,1.968421053,0.041,1.6805
202108,hawaii,hi,724950,0.0139,0.1417,4231,-0.0334,-0.3782,49.5,0.03125,-0.357142857,1552,0.0078,-0.1182,100,0.0417,0.5625,400,-0.1228,-0.4949,1207,-0.0622,0.1696,574.1851424,0.0015,0.0781,1196,0.0101,0.0067,1308311.768,0.0099,0.1283,5438,-0.0399,-0.306,0.285275349,-0.0088,0.1336
202108,maryland,md,375000,-0.0129,0.0417,9773,0.0588,-0.0438,34.5,0.045454545,-0.197674419,8464,-0.0674,0.1975,380,-0.0952,-0.4379,3828,0.1888,0.4284,14372,0.0238,2.5885,199.3388002,-0.0056,0.117,1755.5,-0.0115,-0.0632,502298.4328,-0.0311,-0.0193,24145,0.0377,0.6972,1.470582216,-0.0503,1.0787
202108,texas,tx,349925.5,0.0001,0.1259,52751,0.1039,-0.2888,35.5,0.014285714,-0.342592593,36460,-0.0721,0.0749,2284,-0.1553,-0.6183,18656,0.1454,-0.1807,54431,-0.0229,-0.0366,165.3579102,0.0067,0.1728,2087,-0.0029,-0.0557,500677.0626,-0.0146,0.0985,107182,0.0356,-0.1798,1.031847737,-0.1339,0.2702
202108,maine,me,335000,-0.0144,0.1204,3697,0.0455,-0.2619,39,0.181818182,-0.390625,2152,-0.0772,0.0287,40,-0.2857,-0.6154,1052,0.1336,0.19,1441,0.095,-0.0191,199.9611215,0.0007,0.1756,1671,-0.0171,-0.0194,491439.9948,-0.032,0.0868,5138,0.0589,-0.2069,0.389775494,0.0176,0.0965
202108,montana,mt,507450,-0.0147,0.2702,3116,0.0786,-0.2637,51,0.133333333,-0.271428571,1604,-0.0025,-0.0696,40,-0.2308,-0.4737,724,0.2397,0.0402,3334,-0.0325,-0.1872,255.6149829,-0.0107,0.3472,2082.5,0.0012,-0.0465,948255.1254,-0.0437,0.2683,6450,0.0182,-0.2261,1.069961489,-0.1228,0.1007
202108,ohio,oh,212400,-0.0262,-0.0341,16471,0.1118,-0.0253,33.5,0.116666667,-0.287234043,13456,-0.0535,0.1895,696,-0.1122,-0.0114,6840,0.1769,0.1082,23864,0.0143,-0.0422,115.2555556,0,0.0906,1631,-0.0139,-0.0728,300300.0766,-0.0227,-0.0062,40335,0.052,-0.0353,1.448849493,-0.1393,-0.0256
202108,wisconsin,wi,279900,0,0.0367,10923,0.0782,-0.1763,38,0.055555556,-0.296296296,7380,-0.0274,0.0827,140,0.1667,-0.2553,3272,0.2119,0.0834,9544,-0.0019,-0.1041,151.1708333,-0.0014,0.1049,1700,0.0059,-0.0556,370543.2719,-0.0096,0.0328,20467,0.0393,-0.1441,0.873752632,-0.0701,0.0704
