month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,2575,"west tisbury, ma",*,3100000,-0.0462,1.0275,14,0,-0.6111,46.5,1.113636364,,4,-0.75,-0.6667,0,,,0,,,9,0.125,-0.4375,855.7422969,-0.0681,0.5566,3376,-0.0966,0.1538,2910285.714,-0.1983,-0.0316,23,0.0455,-0.5577,0.642857143,0.0714,0.1984
202108,47803,"terre haute, in",,219990,0.0732,0.2222,67,0.0984,-0.1299,59.5,0.19,-0.508264463,40,0.1111,0.1111,0,,,12,-0.25,-0.25,86,0.1944,0.3871,112.2342909,0.0445,0.0643,1599,0,0.0527,206881.2888,0.1011,-0.0617,153,0.1504,0.1007,1.28358209,0.1033,0.4784
202108,48617,"clare, mi",,187775,0.0438,0.295,19,0,0.1875,52,-0.087719298,0.444444444,4,-0.6667,-0.5,0,,,8,0,,16,1.6667,-0.0588,104.4019799,-0.0306,0.1435,1741,0.0681,0.0363,274409.2262,0.017,0.6737,35,0.4,0.0606,0.842105263,0.5263,-0.2204
202108,98902,"yakima, wa",*,246500,-0.0592,,53,0.1778,,17.5,-0.270833333,,64,1,1.6667,0,,,28,0.4,1.3333,81,0.0385,0.5882,166.6325005,-0.0727,0.1688,1450,-0.0858,-0.2033,260415.7805,-0.0601,-0.0871,134,0.0894,0.7867,1.528301887,-0.205,-0.5967
202108,32112,"crescent city, fl",,280000,-0.0175,0.0409,21,-0.16,-0.125,82,0.301587302,-0.068181818,0,-1,-1,0,,,4,0,,11,-0.3125,-0.2667,157.8983516,-0.0665,0.3762,1415,-0.0623,-0.1455,499453.8462,-0.0793,0.4772,32,-0.2195,-0.1795,0.523809524,-0.1162,-0.1012
202108,11764,"miller place, ny",,607441.5,-0.0295,0.0867,37,0.2333,-0.3621,25,-0.264705882,-0.509803922,16,-0.2,-0.3333,0,,,8,1,-0.3333,27,0.5,-0.5846,0,-1,,0,-1,,659619.8503,-0.0602,0.0969,64,0.3333,-0.4797,0.72972973,0.1297,-0.391
202108,48317,"utica, mi",,257400,0.03,-0.0058,43,0.303,-0.1224,17,0.133333333,-0.19047619,56,0.0769,0.1667,4,,0,20,0.6667,0.6667,29,0.2609,0.0357,170.5826087,0.0145,0.1268,1550,0.058,-0.0719,299748.6936,0.0331,0.1458,72,0.2857,-0.0649,0.674418605,-0.0226,0.103
202108,83113,"big piney, wy",*,270000,0.1489,,22,-0.12,-0.0435,86,-0.173076923,0.075,4,0,0,0,,,4,,0,6,-0.3333,-0.25,125.464684,0.0546,0.2546,2101,0.0611,0.3115,334009.0909,0.162,0.6896,28,-0.1765,-0.0968,0.272727273,-0.0873,-0.0751
202108,44120,"cleveland, oh",,159000,0.0258,-0.205,69,0.1897,0.0299,36,-0.142857143,-0.357142857,36,-0.1,0.5,0,,-1,24,-0.1429,0.2,56,0.0182,0.2444,76.89868321,0.0648,-0.1847,1694.5,-0.041,-0.1644,265477.914,-0.0861,-0.1063,125,0.1062,0.1161,0.811594203,-0.1367,0.14
202108,46032,"carmel, in",,522450,-0.0753,0.0453,48,0.0909,-0.5596,29.5,-0.202702703,-0.358695652,72,0.5,0.125,0,-1,-1,20,0.6667,-0.5833,129,0.032,-0.1042,161.169626,0.0081,0.212,3294,-0.1145,-0.1836,741585.234,-0.0001,0.1896,177,0.0473,-0.3004,2.6875,-0.1534,1.3664
