,week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
0,2021-09-04,usa,8.3,-23.6,-12,-21.8,-8.2,2.0,-11.9,0.7
1,2021-08-28,usa,8.6,-23.6,-15,-26.8,1.2,3.0,-10.2,0.7
2,2021-08-21,usa,8.6,-24.7,-17,-30.4,1.8,3.3,-9.0,0.9
3,2021-08-14,usa,8.6,-26.1,-18,-32.1,5.8,4.0,-11.4,0.8
4,2021-08-07,usa,8.6,-27.8,-17,-30.4,2.9,4.0,-14.1,0.7
5,2021-07-31,usa,8.9,-29.2,-18,-31.6,5.4,4.4,-14.4,0.8
6,2021-07-24,usa,10.3,-30.9,-19,-33.3,8.9,5.1,-20.7,0.5
7,2021-07-17,usa,10.3,-33.0,-21,-35.6,9.1,5.5,-25.8,0.2
8,2021-07-10,usa,10.3,-35.4,-23,-38.3,5.3,5.5,-37.6,-0.5
9,2021-07-03,usa,10.1,-39.0,-23,-37.1,-2.9,4.9,-31.7,0.3
10,2021-06-26,usa,11.6,-39.3,-28,-43.1,11.6,6.9,-39.5,-0.4
11,2021-06-19,usa,12.2,-42.0,-33,-47.1,4.0,6.6,-44.8,-0.6
12,2021-06-12,usa,13.2,-44.0,-36,-49.3,7.0,7.4,-47.2,-0.7
13,2021-06-05,usa,13.6,-45.8,-35,-47.9,-1.2,6.9,-54.7,-1.2
14,2021-05-29,usa,13.1,-48.5,-35,-47.3,9.3,7.8,-51.3,-0.6
15,2021-05-22,usa,14.9,-49.3,-34,-47.2,9.0,8.5,-55.7,-1.1
16,2021-05-15,usa,15.5,-50.9,-32,-45.1,8.2,8.6,-56.8,-1.0
17,2021-05-08,usa,15.2,-52.0,-28,-40.6,5.4,8.4,-58.5,-1.0
18,2021-05-01,usa,15.4,-52.0,-25,-36.8,17.6,9.2,-54.5,-0.6
19,2021-04-24,usa,15.4,-52.9,-24,-36.4,28.9,9.6,-52.1,-0.3
20,2021-04-17,usa,17.2,-52.9,-21,-32.8,39.7,10.2,-50.4,-0.2
21,2021-04-10,usa,18.7,-53.0,-18,-29.5,36.5,10.0,-50.0,-0.2
22,2021-04-03,usa,17.2,-53.7,-12,-20.0,-7.5,6.7,-58.4,-0.6
23,2021-03-27,usa,17.2,-52.7,-9,-15.3,6.3,7.7,-51.3,-0.2
24,2021-03-20,usa,15.6,-52.1,-8,-13.6,-14.4,6.0,-64.0,-1.4
25,2021-03-13,usa,14.2,-51.2,-7,-11.7,-23.6,4.8,-67.6,-2.0
26,2021-03-06,usa,14.3,-50.6,-6,-9.5,-26.6,4.3,-66.7,-1.9
27,2021-02-27,usa,14.0,-49.6,-6,-8.2,-26.9,3.5,-67.3,-1.9
28,2021-02-20,usa,14.5,-49.2,-7,-9.1,-35.2,2.1,-69.3,-2.0
29,2021-02-13,usa,12.9,-47.8,-11,-13.6,-23.4,3.5,-65.0,-1.7
30,2021-02-06,usa,12.9,-46.9,-10,-12.0,-28.7,2.7,-60.6,-1.4
31,2021-01-30,usa,13.3,-44.6,-9,-10.6,-20.8,3.0,-56.3,-1.1
32,2021-01-23,usa,14.4,-43.4,-9,-10.6,-20.8,2.8,-54.0,-1.0
33,2021-01-16,usa,15.0,-42.6,-9,-10.6,-21.6,2.7,-52.2,-0.9
34,2021-01-09,usa,15.4,-41.2,-10,-11.6,-25.5,1.9,-51.4,-1.0
35,2021-01-02,usa,12.5,-41.2,-11,-12.8,-35.3,0.5,-58.1,-1.1
36,2020-12-26,usa,13.3,-40.7,-14,-16.5,6.9,2.1,-38.9,0.0
37,2020-12-19,usa,13.4,-39.8,-13,-16.2,0.6,3.0,-32.4,0.3
38,2020-12-12,usa,13.3,-39.4,-13,-16.7,-2.0,3.1,-39.0,-0.1
39,2020-12-05,usa,13.1,-39.2,-14,-18.2,-7.3,2.9,-42.1,-0.4
40,2020-11-28,usa,13.3,-39.1,-14,-18.9,0.5,2.5,-37.2,0.0
41,2020-11-21,usa,13.0,-38.9,-13,-18.3,-4.7,3.1,-40.3,-0.3
42,2020-11-14,usa,12.6,-38.6,-13,-18.6,-7.0,3.0,-41.8,-0.5
43,2020-11-07,usa,12.7,-39.0,-13,-18.8,-12.1,2.8,-48.7,-1.1
44,2020-10-31,usa,12.9,-38.1,-14,-20.0,-9.4,2.9,-48.9,-1.3
45,2020-10-24,usa,12.2,-38.2,-14,-20.9,-2.0,3.6,-45.4,-1.0
46,2020-10-17,usa,11.1,-37.9,-13,-19.7,-5.8,3.4,-47.5,-1.2
47,2020-10-10,usa,12.2,-38.4,-13,-19.7,-4.5,3.6,-45.9,-1.0
48,2020-10-03,usa,12.9,-38.2,-12,-18.2,-7.2,3.5,-49.4,-1.5
49,2020-09-26,usa,12.2,-38.8,-12,-18.2,-6.2,3.5,-49.6,-1.5
50,2020-09-19,usa,11.1,-39.5,-12,-18.5,-14.6,3.0,-50.4,-1.5
51,2020-09-12,usa,11.1,-38.8,-11,-16.9,-16.9,2.6,-53.9,-1.9
52,2020-09-05,usa,10.8,-38.7,-12,-17.9,-12.3,3.1,-51.4,-1.7
53,2020-08-29,usa,10.6,-37.9,-10,-15.2,-15.5,2.6,-51.0,-1.6
54,2020-08-22,usa,10.3,-37.1,-9,-13.8,-12.6,2.8,-49.7,-1.6
55,2020-08-15,usa,10.1,-36.4,-4,-6.7,-10.5,2.9,-48.5,-1.5
56,2020-08-08,usa,9.9,-35.7,-4,-6.7,-6.3,3.2,-47.7,-1.5
57,2020-08-01,usa,9.3,-35.4,-4,-6.6,-11.2,2.7,-46.9,-1.4
58,2020-07-25,usa,9.1,-34.2,-4,-6.6,-11.3,2.5,-46.0,-1.4
59,2020-07-18,usa,9.1,-33.3,-1,-1.7,-15.2,2.0,-44.9,-1.4
60,2020-07-11,usa,7.9,-32.0,1,1.7,-19.2,1.5,-48.2,-1.9
61,2020-07-04,usa,6.2,-31.0,3,5.1,-4.4,2.5,-36.3,-0.6
62,2020-06-27,usa,6.2,-30.1,7,12.1,-17.2,1.4,-45.0,-1.6
63,2020-06-20,usa,5.6,-28.7,13,22.8,-18.8,1.1,-44.0,-1.6
