,week_end_date,metro,state_id,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
0,9/4/2021,new york-newark-jersey city, ny-nj-pa,35620,"new york-newark-jersey city, ny-nj-pa",1,-2.4,-13.4,0,0.0,-38.6,-2.2,-25.5,-0.4
1,9/4/2021,los angeles-long beach-anaheim, ca,31080,"los angeles-long beach-anaheim, ca",2,-3.5,-21.9,-2,-4.1,-27.1,-0.8,-32.6,-0.6
2,9/4/2021,chicago-naperville-elgin, il-in-wi,16980,"chicago-naperville-elgin, il-in-wi",3,-5.4,-18.7,-3,-7.1,-15.2,0.5,-17.0,0.1
3,9/4/2021,dallas-fort worth-arlington, tx,19100,"dallas-fort worth-arlington, tx",4,10.1,-34.7,-12,-25.5,-3.8,5.2,-37.6,-0.8
4,9/4/2021,philadelphia-camden-wilmington, pa-nj-de-md,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,-7.0,-1.8,2,4.4,-6.8,-0.6,4.4,0.5
5,9/4/2021,washington-arlington-alexandria, dc-va-md-wv,47900,"washington-arlington-alexandria, dc-va-md-wv",6,-3.7,9.9,6,20.0,-15.4,-3.7,46.7,2.2
6,9/4/2021,houston-the woodlands-sugar land, tx,26420,"houston-the woodlands-sugar land, tx",7,10.6,-20.6,-13,-25.0,26.4,5.1,9.6,2.1
7,9/4/2021,miami-fort lauderdale-west palm beach, fl,33100,"miami-fort lauderdale-west palm beach, fl",8,12.0,-47.0,-33,-35.5,-19.0,3.2,-48.5,-0.2
8,9/4/2021,atlanta-sandy springs-roswell, ga,12060,"atlanta-sandy springs-roswell, ga",9,10.8,-28.0,-11,-23.4,-3.6,3.8,-36.9,-1.1
9,9/4/2021,boston-cambridge-newton, ma-nh,14460,"boston-cambridge-newton, ma-nh",10,-2.2,-25.4,-1,-2.3,-38.8,-2.1,-24.9,0.2
10,9/4/2021,san francisco-oakland-hayward, ca,41860,"san francisco-oakland-hayward, ca",11,-3.1,-29.3,-1,-2.9,-33.6,-0.9,-48.6,-1.5
11,9/4/2021,detroit-warren-dearborn, mi,19820,"detroit-warren-dearborn, mi",12,-7.3,-12.2,-8,-21.6,-1.4,1.5,5.3,1.1
12,9/4/2021,phoenix-mesa-scottsdale, az,38060,"phoenix-mesa-scottsdale, az",13,16.0,-16.3,-5,-13.5,-1.8,2.6,-9.0,0.4
13,9/4/2021,seattle-tacoma-bellevue, wa,42660,"seattle-tacoma-bellevue, wa",14,7.3,-44.0,-2,-5.7,72.5,11.9,88.6,4.5
14,9/4/2021,minneapolis-st. paul-bloomington, mn-wi,33460,"minneapolis-st. paul-bloomington, mn-wi",15,-2.5,-14.0,-3,-7.9,-21.6,-1.1,13.8,1.7
15,9/4/2021,riverside-san bernardino-ontario, ca,40140,"riverside-san bernardino-ontario, ca",16,16.1,-3.2,-8,-18.6,-7.3,-0.6,37.6,1.8
16,9/4/2021,tampa-st. petersburg-clearwater, fl,45300,"tampa-st. petersburg-clearwater, fl",17,20.4,-38.6,-13,-25.5,-7.7,5.3,-22.8,1.4
17,9/4/2021,san diego-carlsbad, ca,41740,"san diego-carlsbad, ca",18,8.2,1.5,6,16.7,-9.1,-1.6,-27.1,-1.7
18,9/4/2021,st. louis, mo-il,41180,"st. louis, mo-il",19,-0.4,-13.9,-13,-22.0,17.3,3.6,-8.7,0.1
19,9/4/2021,denver-aurora-lakewood, co,19740,"denver-aurora-lakewood, co",20,12.1,-36.1,-8,-22.2,-29.8,1.4,-38.5,-0.5
20,9/4/2021,baltimore-columbia-towson, md,12580,"baltimore-columbia-towson, md",21,-0.9,-5.7,1,2.8,-8.4,-0.4,19.1,1.9
21,9/4/2021,pittsburgh, pa,38300,"pittsburgh, pa",22,-8.0,-13.3,-8,-14.8,-4.1,1.0,-6.9,0.5
22,9/4/2021,portland-vancouver-hillsboro, or-wa,38900,"portland-vancouver-hillsboro, or-wa",23,11.0,-23.3,-7,-16.3,-14.3,1.4,-18.9,0.5
23,9/4/2021,charlotte-concord-gastonia, nc-sc,16740,"charlotte-concord-gastonia, nc-sc",24,4.9,-28.1,-12,-28.6,-5.0,4.0,-12.5,1.1
24,9/4/2021,orlando-kissimmee-sanford, fl,36740,"orlando-kissimmee-sanford, fl",25,15.4,-46.6,-18,-31.6,-9.1,6.1,-41.3,0.2
25,9/4/2021,cleveland-elyria, oh,17460,"cleveland-elyria, oh",26,-11.1,-0.3,-6,-12.2,-4.2,-0.5,4.6,0.4
26,9/4/2021,cincinnati, oh-ky-in,17140,"cincinnati, oh-ky-in",27,-4.6,-1.8,-8,-20.0,4.6,0.8,3.6,0.3
27,9/4/2021,san antonio-new braunfels, tx,41700,"san antonio-new braunfels, tx",28,10.7,-25.7,-13,-25.5,8.5,4.3,-23.3,-0.1
28,9/4/2021,sacramento--roseville--arden-arcade, ca,40900,"sacramento--roseville--arden-arcade, ca",29,8.6,-3.2,-5,-14.3,-10.5,-1.3,-5.2,0.0
29,9/4/2021,kansas city, mo-ks,28140,"kansas city, mo-ks",30,-5.9,-5.9,-9,-18.0,-11.5,-0.8,8.9,1.2
30,9/4/2021,columbus, oh,18140,"columbus, oh",31,-3.2,-1.1,-6,-19.4,2.5,0.6,-2.4,-0.2
31,9/4/2021,indianapolis-carmel-anderson, in,26900,"indianapolis-carmel-anderson, in",32,-0.8,-22.6,-10,-21.3,-2.6,3.2,-14.2,0.6
32,9/4/2021,las vegas-henderson-paradise, nv,29820,"las vegas-henderson-paradise, nv",33,23.2,-32.3,-11,-28.2,-2.5,4.3,-40.6,-1.1
33,9/4/2021,austin-round rock, tx,12420,"austin-round rock, tx",34,33.4,-17.2,-15,-34.9,9.1,3.7,0.5,1.1
34,9/4/2021,nashville-davidson--murfreesboro--franklin, tn,34980,"nashville-davidson--murfreesboro--franklin, tn",35,10.0,-48.0,-11,-34.4,-26.9,5.2,-40.6,0.4
35,9/4/2021,san jose-sunnyvale-santa clara, ca,41940,"san jose-sunnyvale-santa clara, ca",36,5.3,-29.9,-2,-5.7,-29.3,0.1,-50.3,-2.1
36,9/4/2021,virginia beach-norfolk-newport news, va-nc,47260,"virginia beach-norfolk-newport news, va-nc",37,-5.3,-17.6,-11,-28.2,0.5,2.4,44.2,2.3
37,9/4/2021,milwaukee-waukesha-west allis, wi,33340,"milwaukee-waukesha-west allis, wi",38,-14.6,2.2,-4,-9.8,-13.1,-2.2,48.6,3.9
38,9/4/2021,providence-warwick, ri-ma,39300,"providence-warwick, ri-ma",39,2.2,-12.1,-10,-21.7,-21.8,-1.6,10.3,1.2
39,9/4/2021,jacksonville, fl,27260,"jacksonville, fl",40,11.9,-36.5,-19,-31.7,10.6,6.5,-18.5,1.4
40,9/4/2021,oklahoma city, ok,36420,"oklahoma city, ok",41,2.7,-22.7,-11,-21.6,-20.9,0.3,2.8,2.3
41,9/4/2021,louisville/jefferson county, ky-in,31140,"louisville/jefferson county, ky-in",42,-9.1,-6.8,-5,-14.3,-9.5,-0.4,10.1,1.4
42,9/4/2021,memphis, tn-ms-ar,32820,"memphis, tn-ms-ar",43,-5.0,-14.3,-11,-22.4,10.9,3.4,-7.3,0.3
43,9/4/2021,new orleans-metairie, la,35380,"new orleans-metairie, la",44,6.2,-5.2,-11,-17.5,-93.7,-9.0,-96.4,-6.4
44,9/4/2021,richmond, va,40060,"richmond, va",45,-1.4,-20.3,-9,-17.6,-9.3,1.6,-2.1,1.1
45,9/4/2021,buffalo-cheektowaga-niagara falls, ny,15380,"buffalo-cheektowaga-niagara falls, ny",46,0.0,-7.6,2,4.7,-11.1,-0.5,-14.7,-0.5
46,9/4/2021,hartford-west hartford-east hartford, ct,25540,"hartford-west hartford-east hartford, ct",47,10.3,-56.5,-5,-11.6,-31.0,4.9,-24.0,2.4
47,9/4/2021,raleigh, nc,39580,"raleigh, nc",48,10.2,-58.4,-25,-55.6,-13.5,10.1,-59.7,-0.8
