,0
vermont,vt
nebraska,ne
kansas,ks
pennsylvania,pa
ohio,oh
wyoming,wy
new mexico,nm
oklahoma,ok
arkansas,ar
indiana,in
alabama,al
tennessee,tn
maine,me
california,ca
connecticut,ct
maryland,md
louisiana,la
washington,wa
rhode island,ri
south carolina,sc
utah,ut
delaware,de
new hampshire,nh
minnesota,mn
idaho,id
mississippi,ms
michigan,mi
georgia,ga
colorado,co
oregon,or
illinois,il
missouri,mo
montana,mt
north dakota,nd
north carolina,nc
west virginia,wv
hawaii,hi
florida,fl
wisconsin,wi
district of columbia,dc
texas,tx
new york,ny
virginia,va
alaska,ak
new jersey,nj
south dakota,sd
arizona,az
iowa,ia
kentucky,ky
massachusetts,ma
nevada,nv
marshall islands,mh
